"year","state_fips","stalt_unemployed_15_plus_weeks","stalt_job_losers","stalt_discouraged_workers","stalt_all_marginally_attached","stalt_involuntary_part_time_employed","stalt_civilian_labor_force","stalt_employed","stalt_unemployed","stalt_u1","stalt_u2","stalt_u3","stalt_u4","stalt_u5","stalt_u6"
2015,"36",238100,234500,56800,149900,381200,9671900,9160400,511500,2.5,2.4,5.3,5.8,6.7,10.6
2015,"37",123400,123100,29300,65600,203500,4788400,4507700,280700,2.6,2.6,5.9,6.4,7.1,11.3
2015,"38",2800,5700,700,2900,8000,414300,402900,11300,0.7,1.4,2.7,2.9,3.4,5.3
2015,"39",112500,118700,24400,82200,221500,5691600,5412600,279000,2,2.1,4.9,5.3,6.3,10.1
2015,"40",27700,38000,6900,20100,51700,1862200,1782500,79700,1.5,2,4.3,4.6,5.3,8
2015,"41",41800,55700,8700,24300,97300,1954500,1844000,110500,2.1,2.9,5.7,6.1,6.8,11.7
2015,"42",152700,172500,23200,85000,280500,6435600,6101200,334400,2.4,2.7,5.2,5.5,6.4,10.7
2015,"44",18400,18900,1400,6900,24300,559300,526200,33100,3.3,3.4,5.9,6.2,7.1,11.4
2015,"45",61800,63100,12500,33500,96000,2287000,2152500,134500,2.7,2.8,5.9,6.4,7.2,11.4
2015,"46",5200,5600,1000,3900,9200,455600,439800,15800,1.1,1.2,3.5,3.7,4.3,6.3
2015,"47",70400,83100,17800,39400,119200,3088100,2912900,175300,2.3,2.7,5.7,6.2,6.9,10.7
2015,"48",213400,278300,48500,126200,402800,13010100,12433700,576400,1.6,2.1,4.4,4.8,5.3,8.4
2015,"49",13900,23300,4200,11900,46100,1456200,1404500,51800,1,1.6,3.6,3.8,4.3,7.5
2015,"50",4000,6200,1100,3900,12200,344300,331900,12400,1.1,1.8,3.6,3.9,4.7,8.2
2015,"51",86000,84900,15500,49800,181300,4218300,4029200,189100,2,2,4.5,4.8,5.6,9.8
2015,"53",80400,102700,12100,42900,149900,3537400,3338000,199300,2.3,2.9,5.6,6,6.8,11
2015,"54",24500,26000,3500,13000,31700,787200,732600,54700,3.1,3.3,6.9,7.3,8.4,12.4
