"year","fips","acs_median_rent_estimate","acs_median_rent_percent_household_income_estimate","acs_median_rent_moe","acs_median_rent_percent_household_income_moe"
2009,"18057",916,24.6,20,0.8
2009,"22117",496,28.8,28,3.7
2009,"30065",498,31.1,93,6.9
2009,"48279",546,24.5,40,3
2009,"05111",464,29,24,2.3
2009,"13199",614,32,46,3.4
2009,"48099",782,28.8,53,2
2009,"06025",658,32.6,17,1.3
2009,"23013",715,31.9,29,3.9
2009,"06045",862,34.2,39,2.2
2009,"40125",567,30.6,16,2.4
2009,"42023",474,27.5,40,4.8
2009,"24029",712,29.2,94,3.6
2009,"08033",558,24.9,102,21.3
2009,"08051",816,32.9,77,4.2
2009,"22073",593,30.7,12,1.3
2009,"48311",296,39,323,31.3
2009,"46079",500,28.5,87,5
2009,"27005",554,26.5,37,2
2009,"20135",440,21.9,85,4.2
2009,"39101",624,30.2,17,2.4
2009,"49001",660,19.8,84,17.1
2009,"19115",589,23.4,39,4.8
2009,"38009",457,30.8,31,18.3
2009,"48033",663,12.2,308,0.7
2009,"16043",596,21,64,5.7
2009,"26153",524,25.9,78,6
2009,"48243",430,23.4,122,10.5
2009,"16003",548,26.3,134,3.8
2009,"29175",557,28.6,25,1.9
2009,"39105",475,29.8,38,3.8
2009,"05001",549,32.6,23,2.7
2009,"55021",671,27.2,22,1.5
2009,"27147",658,26.1,28,3.6
2009,"40017",738,24.6,29,1.2
2009,"55097",617,28.7,12,2.1
2009,"31081",566,19.8,54,4.6
2009,"49003",616,23.3,35,1.5
2009,"19027",471,23.4,36,3.7
2009,"33003",792,30.7,41,3.9
2009,"27045",521,25.6,31,1.6
2009,"19079",582,23.8,15,4.3
2009,"42009",520,27.1,14,1.6
2009,"19141",511,28.2,47,9.6
2009,"18105",714,41.9,20,3.2
2009,"06075",1287,27.4,12,0.4
2009,"05003",475,27.6,35,2.7
2009,"05121",473,27.4,33,3.3
2009,"13061",421,35.2,126,12
2009,"08021",481,27.5,92,4.3
2009,"08059",884,29.6,11,0.6
2009,"22049",503,24.5,56,5
2009,"13197",399,26.4,63,7.7
2009,"37123",492,27.4,19,2.8
2009,"13243",449,31.1,43,5.4
2009,"21115",421,25.7,65,6.4
2009,"28075",584,29.6,23,1.9
2009,"05109",508,28,53,5.9
2009,"13205",561,31.4,36,3.1
2009,"13035",760,27.9,37,3.1
2009,"05093",550,28.8,20,2.4
2009,"13263",439,35.7,132,11
2009,"51107",1473,29.2,36,1
2009,"32021",535,33.5,279,19.7
2009,"48021",829,31.5,35,3.2
2009,"49023",636,27.6,54,8.7
2009,"51045",547,23.3,249,12
2009,"17107",551,26.6,32,3
2009,"36017",558,26.2,32,1.3
2009,"37061",527,25.8,21,2.4
2009,"38069",464,27.9,96,6.6
2009,"41027",659,29.7,45,4.3
2009,"50019",626,32.8,23,2.2
2009,"42025",630,27.3,28,2
2009,"46039",343,21.6,113,2.6
2009,"46101",478,17.9,51,1.3
2009,"19045",527,27.6,15,2.6
2009,"17177",553,30,30,2
2009,"21093",610,25.4,22,1.4
2009,"36051",656,30.7,20,2.7
2009,"51700",853,30.1,12,0.9
2009,"20059",675,26.3,19,2.4
2009,"48219",566,26.2,31,3.5
2009,"06093",673,33.7,41,2.4
2009,"29207",515,30.9,22,2.2
2009,"53023",512,29,47,6.8
2009,"01109",499,34.9,30,4.8
2009,"13221",584,22.7,41,1.9
2009,"21221",475,35.1,34,8.5
2009,"01027",432,20.3,38,2.9
2009,"35007",527,26.6,54,5.6
2009,"17059",366,25,55,3.7
2009,"12065",673,30.3,123,13.7
2009,"45007",596,30.2,12,1.6
2009,"27059",792,30.8,67,3.9
2009,"16013",891,27.3,63,4
2009,"06113",1027,34.1,26,1.1
2009,"39043",639,29.8,25,2.2
2009,"37029",850,37,37,14.8
2009,"21209",673,25.3,24,2.6
2009,"49047",765,25.8,46,2.4
2009,"18069",582,24.9,29,2
2009,"06001",1166,30.4,9,0.5
2009,"12011",1111,35.3,8,0.6
2009,"26139",725,27.3,19,1.1
2009,"21111",657,28.8,5,0.5
2009,"51810",1101,29.8,12,0.6
2009,"42101",801,33,7,0.5
2009,"41005",865,29.6,10,0.8
2009,"06097",1185,32.3,15,0.8
2009,"34007",869,31.6,13,0.7
2009,"36005",885,32.7,5,0.4
2009,"39067",478,28.5,35,6.1
2009,"54015",360,30.3,39,13.2
2009,"05073",466,32.7,77,5.3
2009,"40077",451,27.7,43,5.4
2009,"39107",603,25,26,2.4
2009,"28093",520,30.4,118,6
2009,"29161",571,28.6,32,2.5
2009,"48185",617,30.7,46,4.9
2009,"48331",567,28.7,57,3.6
2009,"45061",458,26.8,57,3.8
2009,"13299",545,27.3,27,3.3
2009,"13005",505,33.3,48,5.2
2009,"21033",507,19.8,42,6.8
2009,"30069",388,15.8,417,18
2009,"13111",552,25.7,34,2.9
2009,"35021",317,16.3,323,22.3
2009,"21075",347,26.5,41,4.4
2009,"21193",436,24.6,24,3.2
2009,"29171",516,32.8,57,11.6
2009,"21133",408,25.1,29,5.7
2009,"39055",750,29,48,2
2009,"51630",979,34.7,31,3.1
2009,"48441",696,30.1,15,1.6
2009,"18133",661,28.5,41,2.3
2009,"30009",599,23.8,47,2.1
2009,"36011",614,27,14,1.8
2009,"46091",439,25.2,56,9.8
2009,"19003",430,19.8,33,4.3
2009,"31101",653,23.9,106,1.7
2009,"46055",486,15.3,36,4.7
2009,"26057",592,30.1,39,4.3
2009,"46049",378,30.4,22,7.7
2009,"51683",1211,33.4,58,2.9
2009,"29043",684,26.7,28,1.9
2009,"48199",659,24.4,33,2.7
2009,"48061",561,32,14,0.9
2009,"27043",467,31.4,19,4.4
2009,"47001",593,27.2,16,1.5
2009,"47113",672,35.1,19,2
2009,"19147",366,26.9,34,1.7
2009,"46057",474,23.1,73,3.4
2009,"19067",415,27.2,21,3.9
2009,"27153",525,26.9,53,2.5
2009,"48451",651,28.9,24,1.6
2009,"55019",516,24.1,23,1.3
2009,"36105",760,31.1,31,2.2
2009,"06005",1075,28.9,47,3.8
2009,"18055",524,28.5,21,2.3
2009,"48301",NA,NA,0,0
2009,"26083",307,27.5,127,1.2
2009,"48241",552,26.8,41,3.8
2009,"46063",288,20.2,194,3.7
2009,"28099",548,28.9,40,3.6
2009,"30071",405,21.6,35,9.3
2009,"41037",591,23.6,53,2.9
2009,"30015",380,20.9,40,4.6
2009,"41025",566,23.1,54,4.5
2009,"29063",435,21,43,7.1
2009,"21161",475,29.1,62,2.6
2009,"21117",653,26.2,15,1.2
